,Phenotype,Location
0,Invasive,[ 0. 10.]
1,Proliferative,[1. 9.]
2,Proliferative,[0. 0.]
3,Invasive,[ 9. 10.]
4,Invasive,[8. 0.]
5,Invasive,[8. 6.]
6,Proliferative,[9. 9.]
7,Invasive,[0. 7.]
8,Invasive,[10. 10.]
9,Proliferative,[7. 1.]
10,Invasive,[3. 4.]
11,Invasive,[7. 6.]
12,Invasive,[6. 7.]
13,Invasive,[6. 6.]
14,Proliferative,[9. 6.]
15,Invasive,[5. 5.]
16,Proliferative,[4. 5.]
17,Proliferative,[1. 7.]
18,Proliferative,[ 4. 10.]
19,Invasive,[7. 2.]
20,Invasive,[7. 4.]
21,Proliferative,[0. 2.]
22,Proliferative,[2. 1.]
23,Proliferative,[5. 4.]
24,Proliferative,[9. 2.]
25,Invasive,[0. 1.]
26,Proliferative,[2. 4.]
27,Proliferative,[5. 9.]
28,Invasive,[0. 3.]
29,Proliferative,[3. 9.]
30,Invasive,[0. 5.]
31,Invasive,[10.  9.]
32,Invasive,[9. 0.]
33,Invasive,[1. 2.]
34,Invasive,[4. 4.]
35,Proliferative,[0. 8.]
36,Proliferative,[5. 8.]
37,Proliferative,[ 1. 10.]
38,Proliferative,[4. 8.]
39,Proliferative,[6. 4.]
40,Proliferative,[ 8. 10.]
41,Invasive,[6. 8.]
42,Invasive,[8. 3.]
43,Proliferative,[6. 2.]
44,Proliferative,[8. 2.]
45,Proliferative,[1. 4.]
46,Proliferative,[4. 7.]
47,Invasive,[8. 4.]
48,Proliferative,[9. 1.]
49,Invasive,[4. 0.]
50,Invasive,[3. 3.]
51,Invasive,[8. 1.]
52,Proliferative,[2. 2.]
53,Invasive,[2. 5.]
54,Proliferative,[ 6. 10.]
55,Invasive,[9. 5.]
56,Invasive,[8. 9.]
57,Proliferative,[2. 9.]
58,Invasive,[ 3. 10.]
59,Invasive,[2. 0.]
60,Invasive,[3. 7.]
61,Proliferative,[0. 9.]
62,Proliferative,[4. 6.]
63,Invasive,[5. 6.]
64,Proliferative,[10.  2.]
65,Proliferative,[10.  0.]
66,Proliferative,[7. 0.]
67,Proliferative,[6. 0.]
68,Invasive,[9. 7.]
69,Invasive,[ 2. 10.]
70,Proliferative,[8. 5.]
71,Proliferative,[7. 8.]
72,Invasive,[3. 8.]
73,Proliferative,[1. 8.]
74,Invasive,[6. 9.]
75,Proliferative,[3. 2.]
76,Invasive,[ 5. 10.]
77,Invasive,[7. 5.]
78,Proliferative,[1. 5.]
79,Proliferative,[2. 3.]
80,Invasive,[9. 8.]
81,Invasive,[10.  4.]
82,Proliferative,[5. 7.]
83,Proliferative,[5. 1.]
84,Invasive,[9. 3.]
85,Invasive,[2. 8.]
86,Invasive,[5. 0.]
87,Invasive,[8. 8.]
88,Proliferative,[4. 2.]
89,Proliferative,[7. 9.]
